## Generated on 2015-11-18 at 01:46:33 AM GMT using Sketchup version 14.1.1282
## Using FindSUConstants version 1.2, see https://github.com/MSP-Greg/SketchUp
## Found the following --
##   177 Constants at object / root
##   126 Constants defined in Sketchup classes
##    87 Sketchup  defined classes / modules with no constants
##

ALT_MODIFIER_KEY                           18                                 Fixnum
ALT_MODIFIER_MASK                          32                                 Fixnum
ALeaderModel                               2                                  Fixnum
ALeaderNone                                0                                  Fixnum
ALeaderView                                1                                  Fixnum

CMD_ARC                                    21065                              Fixnum
CMD_CAMERA_UNDO                            10529                              Fixnum
CMD_CIRCLE                                 21096                              Fixnum
CMD_COPY                                   57634                              Fixnum
CMD_CUT                                    57635                              Fixnum

CMD_DELETE                                 21021                              Fixnum
CMD_DIMENSION                              21410                              Fixnum
CMD_DISPLAY_FOV                            21494                              Fixnum
CMD_DOLLY                                  10523                              Fixnum
CMD_DRAWCUTS                               21348                              Fixnum

CMD_DRAWOUTLINES                           21347                              Fixnum
CMD_ERASE                                  21019                              Fixnum
CMD_EXTRUDE                                21525                              Fixnum
CMD_FREEHAND                               21031                              Fixnum
CMD_HIDDENLINE                             10511                              Fixnum

CMD_LINE                                   21020                              Fixnum
CMD_MAKE_COMPONENT                         21083                              Fixnum
CMD_MEASURE                                21024                              Fixnum
CMD_MOVE                                   21048                              Fixnum
CMD_NEW                                    57600                              Fixnum

CMD_OFFSET                                 21100                              Fixnum
CMD_OPEN                                   57601                              Fixnum
CMD_ORBIT                                  10508                              Fixnum
CMD_PAGE_DELETE                            21078                              Fixnum
CMD_PAGE_NEW                               21067                              Fixnum

CMD_PAGE_NEXT                              10535                              Fixnum
CMD_PAGE_PREVIOUS                          10536                              Fixnum
CMD_PAGE_UPDATE                            21068                              Fixnum
CMD_PAINT                                  21074                              Fixnum
CMD_PAN                                    10525                              Fixnum

CMD_PASTE                                  57637                              Fixnum
CMD_POLYGON                                21095                              Fixnum
CMD_POSITION_CAMERA                        21169                              Fixnum
CMD_PRINT                                  57607                              Fixnum
CMD_PROTRACTOR                             21057                              Fixnum

CMD_PUSHPULL                               21041                              Fixnum
CMD_RECTANGLE                              21094                              Fixnum
CMD_REDO                                   57644                              Fixnum
CMD_ROTATE                                 21129                              Fixnum
CMD_RUBY_CONSOLE                           21478                              Fixnum

CMD_SAVE                                   57603                              Fixnum
CMD_SCALE                                  21236                              Fixnum
CMD_SECTION                                21337                              Fixnum
CMD_SELECT                                 21022                              Fixnum
CMD_SELECTION_ZOOM_EXT                     21469                              Fixnum

CMD_SHADED                                 10512                              Fixnum
CMD_SHOWGUIDES                             21980                              Fixnum
CMD_SHOWHIDDEN                             21154                              Fixnum
CMD_SKETCHAXES                             10522                              Fixnum
CMD_SKETCHCS                               21126                              Fixnum

CMD_TEXT                                   21405                              Fixnum
CMD_TEXTURED                               10539                              Fixnum
CMD_TRANSPARENT                            10513                              Fixnum
CMD_UNDO                                   57643                              Fixnum
CMD_VIEW_BACK                              10505                              Fixnum

CMD_VIEW_BOTTOM                            10506                              Fixnum
CMD_VIEW_FRONT                             10502                              Fixnum
CMD_VIEW_ISO                               10507                              Fixnum
CMD_VIEW_LEFT                              10504                              Fixnum
CMD_VIEW_PERSPECTIVE                       10519                              Fixnum

CMD_VIEW_RIGHT                             10503                              Fixnum
CMD_VIEW_TOP                               10501                              Fixnum
CMD_WALK                                   10520                              Fixnum
CMD_WIREFRAME                              10510                              Fixnum
CMD_ZOOM                                   10509                              Fixnum

CMD_ZOOM_EXTENTS                           10527                              Fixnum
CMD_ZOOM_WINDOW                            10526                              Fixnum
